,title,year,url
0,Bloodborne,2015,/game/playstation-4/bloodborne
1,The Witcher 3: Wild Hunt,2015,/game/playstation-4/the-witcher-3-wild-hunt
2,Fallout 4,2015,/game/playstation-4/fallout-4
3,The Order: 1886,2015,/game/playstation-4/the-order-1886
4,Metal Gear Solid V: The Phantom Pain,2015,/game/playstation-4/metal-gear-solid-v-the-phantom-pain
5,Star Wars Battlefront,2015,/game/playstation-4/star-wars-battlefront
6,Batman: Arkham Knight,2015,/game/playstation-4/batman-arkham-knight
7,Call of Duty: Black Ops III,2015,/game/playstation-4/call-of-duty-black-ops-iii
8,Until Dawn,2015,/game/playstation-4/until-dawn
9,Destiny: The Taken King,2015,/game/playstation-4/destiny-the-taken-king
10,Dying Light,2015,/game/playstation-4/dying-light
11,Rocket League,2015,/game/playstation-4/rocket-league
12,Evolve,2015,/game/playstation-4/evolve
13,Mad Max,2015,/game/playstation-4/mad-max
14,Assassin's Creed Syndicate,2015,/game/playstation-4/assassins-creed-syndicate
15,The Elder Scrolls Online: Tamriel Unlimited,2015,/game/playstation-4/the-elder-scrolls-online-tamriel-unlimited
16,FIFA 16,2015,/game/playstation-4/fifa-16
17,Battlefield Hardline,2015,/game/playstation-4/battlefield-hardline
18,Uncharted: The Nathan Drake Collection,2015,/game/playstation-4/uncharted-the-nathan-drake-collection
19,Mortal Kombat X,2015,/game/playstation-4/mortal-kombat-x
20,Need for Speed,2015,/game/playstation-4/need-for-speed
21,Pro Evolution Soccer 2016,2015,/game/playstation-4/pro-evolution-soccer-2016
22,Journey,2015,/game/playstation-4/journey
23,Tom Clancy's Rainbow Six Siege,2015,/game/playstation-4/tom-clancys-rainbow-six-siege
24,Dragon Ball: Xenoverse,2015,/game/playstation-4/dragon-ball-xenoverse
25,Everybody's Gone to the Rapture,2015,/game/playstation-4/everybodys-gone-to-the-rapture
26,Just Cause 3,2015,/game/playstation-4/just-cause-3
27,Tony Hawk's Pro Skater 5,2015,/game/playstation-4/tony-hawks-pro-skater-5
28,Life is Strange,2015,/game/playstation-4/life-is-strange
29,NBA 2K16,2015,/game/playstation-4/nba-2k16
30,Dark Souls II: Scholar of the First Sin,2015,/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin
31,Final Fantasy Type-0 HD,2015,/game/playstation-4/final-fantasy-type-0-hd
32,Bloodborne: The Old Hunters,2015,/game/playstation-4/bloodborne-the-old-hunters
33,Helldivers,2015,/game/playstation-4/helldivers
34,Project CARS,2015,/game/playstation-4/project-cars
35,Madden NFL 16,2015,/game/playstation-4/madden-nfl-16
36,The Witcher 3: Wild Hunt - Hearts of Stone,2015,/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone
37,Resident Evil HD Remaster,2015,/game/playstation-4/resident-evil-hd-remaster
38,Borderlands: The Handsome Collection,2015,/game/playstation-4/borderlands-the-handsome-collection
39,Godzilla,2015,/game/playstation-4/godzilla
40,MLB 15: The Show,2015,/game/playstation-4/mlb-15-the-show
41,God of War III Remastered,2015,/game/playstation-4/god-of-war-iii-remastered
42,Destiny: House of Wolves,2015,/game/playstation-4/destiny-house-of-wolves
43,WWE 2K16,2015,/game/playstation-4/wwe-2k16
44,SOMA,2015,/game/playstation-4/soma
45,Tales of Zestiria,2015,/game/playstation-4/tales-of-zestiria
46,NHL 16,2015,/game/playstation-4/nhl-16
