title,Design,Gameplay,Story,Multiplay,Remaster,Series,7,score,year
2064: Read Only Memories,0.052689808,0.059184721,0.056682661,0.032799524,0.02775366,0.051659383,0.025539237,76.28571429,2017
7 Days to Die,-0.041100846,-0.066460589,-0.054648558,-0.030788031,-0.0946463,-0.021409387,-0.06657308,44.5625,2016
Absolver,-0.031853708,-0.039437491,-0.029620753,-0.042500159,-0.020828856,-0.02470534,-0.039718374,68.72,2017
ABZU,0.03077898,0.011610745,0.01642626,0.015774351,0.019410012,0.013409114,0.018064996,78.27777778,2016
Agents of Mayhem,-0.056573321,-0.054117376,-0.064572287,-0.036410193,-0.014045817,-0.031296348,-0.026325597,64.3,2017
Alienation,0.035279362,0.043012852,0.025464064,0.037270331,0.021578386,0.029019953,0.031887179,79.84126984,2016
Apotheon,0.008232196,0.000802636,0.00743243,-0.001163022,-0.015798635,-0.01779635,-0.007587245,76.26923077,2015
ARK: Survival Evolved,-0.027740784,-0.054172327,-0.006616034,-0.054556217,-0.037254399,-0.028552045,-0.048668,69.13333333,2017
Armello,0.008156324,-0.007251532,0.007629033,-0.002075502,0.002442818,0.009081285,-0.011979573,73,2015
Assassin's Creed Origins,-0.017703868,-0.02692988,0.001638951,-0.017479739,0.000137141,0.007369673,-0.010230984,81.37931034,2017
Assassin's Creed Syndicate,0.005511697,0.003166353,0.005722648,-0.005376399,-0.000324025,0.005465518,0.00820183,77.11627907,2015
Assetto Corsa,0.007287111,-0.00512655,-0.005363538,-0.002631454,0.001621344,-0.014637466,0.005813977,73.51428571,2016
Attack on Titan,-0.000951697,-0.013464751,-0.003226724,-0.003167802,0.006871078,-0.000142296,-0.007917285,74.12068966,2016
Axiom Verge,0.045824452,0.027508134,0.036429024,0.036640397,0.034324695,0.035388105,0.026011529,84.62295082,2015
Batman: Arkham Knight,0.042754328,0.042014139,0.057267552,0.032874715,0.045881713,0.065331768,0.051753953,87.71910112,2015
Batman: Arkham VR,0.037572758,0.014217604,0.030763159,0.017483418,0.027463423,0.029278523,0.021454376,74.91935484,2016
Batman: The Telltale Series,0.006658141,0.008789107,-0.053772232,-0.00103078,-0.022976022,-0.05782342,0.001149555,69.54545455,2016
Battleborn,-0.005164626,-0.029436176,-0.013278137,-0.020802308,-0.007395467,-0.010566289,-0.017496655,69.81818182,2016
Battlefield 1,0.021594583,0.023859602,0.036784937,0.039809339,0.01821887,0.076585295,0.056488934,88.52941176,2016
Battlefield Hardline,0.004076787,0.007583141,-0.005579659,0.013038784,0.004318806,-0.004753118,0.02104366,74.13043478,2015
Beyond: Two Souls,0.039754717,0.034219119,0.035330276,0.017571049,-0.023639243,0.03543765,0.023589645,73.9,2015
BioShock: The Collection,0.031999941,0.014665266,0.021028064,0.029427864,0.078095658,0.029568719,0.041922369,83.97435897,2016
Bloodborne,0.07431919,0.041101468,0.042695819,0.08352579,0.065242986,0.052024637,0.059363059,91.87,2015
Bloodborne: The Old Hunters,0.042411053,0.047024091,0.037313786,0.091475858,0.037579935,0.045744922,0.031669783,87.06557377,2015
Borderlands: The Handsome Collection,0.042056993,0.045027714,0.031061022,0.028334943,0.059667929,0.011319177,0.02537022,82.48979592,2015
Bound,-0.012212448,-0.013924011,-0.011596964,-0.008919274,0.001611658,-0.008626043,-0.011609633,71.11290323,2016
BROFORCE,0.001881984,-0.01677966,-0.019873428,-0.008593767,-0.000411792,-0.006556566,-0.004304777,69.41666667,2016
Broken Age,-0.004564273,-0.004487432,-0.009488419,-0.008520333,0.016086487,0.020543947,0.008693214,82.33333333,2015
Bubsy: The Woolies Strike Back,-0.06595401,-0.065525547,-0.067597575,-0.038232997,-0.040393949,-0.066936029,-0.025020324,44.1,2017
Call of Duty: Black Ops III,0.0253061,0.034756187,0.030134237,0.072187068,0.021858084,0.048902853,0.041483264,81.89655172,2015
Call of Duty: Infinite Warfare,0.018045688,0.030484377,0.001988708,0.010219057,0.00351816,-0.02508675,0.009749861,76.94252874,2016
Call of Duty: Modern Warfare Remastered,0.008852103,0.017256727,0.022629651,0.031751968,0.036544257,0.013026915,0.009455325,83.22222222,2016
Call of Duty: WWII,0.000270252,0.017230887,0.015584953,0.004261785,0.019753474,0.041802217,0.050757315,79.92105263,2017
Cities: Skylines - PlayStation 4 Edition,-0.016199192,-0.027724385,0.001227578,0.004829242,0.023946558,-0.032718812,-0.008266954,80.57142857,2017
Crash Bandicoot N. Sane Trilogy,0.013758781,0.006170431,0.015184688,0.004140652,0.035777988,0.003714438,0.004086514,80.69879518,2017
Dark Souls II: Scholar of the First Sin,0.031275114,0.045228821,0.029135179,0.058634902,0.099792099,0.034834899,0.04835585,87,2015
Dark Souls III,0.058476693,0.045937574,0.071698192,0.154134753,0.048841852,0.12162972,0.093312266,89.62318841,2016
Dark Souls III: Ashes of Ariandel,-0.006826176,-0.016827914,-0.000900345,-0.01753519,-0.00948425,0.004288165,-0.007865259,70.42307692,2016
Dark Souls III: The Ringed City,0.031501049,0.02625527,0.03138069,0.007771079,0.038937302,0.047399991,0.034754546,81.75,2017
Darksiders II: Deathinitive Edition,-0.003436668,-0.009503344,-0.006814855,-0.002767058,-0.026567969,-0.010514845,-0.012001986,71.57142857,2015
Dead by Daylight,0.015843308,-0.05073674,-0.029967035,-0.033959792,-0.010317505,-0.02574609,-0.00333314,64.29411765,2017
Dead or Alive 5: Last Round,0.00650763,0.019758302,-0.003836421,0.02030057,0.031151338,0.006689004,0.034914783,75.20512821,2015
Dead or Alive Xtreme 3: Fortune,-0.037712122,-0.040372653,-0.039684635,-0.027824714,-0.072859026,-0.033447179,-0.057945323,46.11111111,2016
Destiny 2,0.027934536,0.035444229,0.036248629,0.056223974,0.028967769,0.023870282,0.02877025,85.43010753,2017
Destiny: House of Wolves,-0.006745256,-0.000204973,-0.005847027,-0.00644968,-0.007413158,-0.012658106,0.002283944,72.35483871,2015
Destiny: Rise of Iron,-0.004945609,0.017377936,-0.001152098,0.02165291,0.017230738,0.005393113,0.01887512,72.09090909,2016
Destiny: The Taken King,0.033350192,0.037968601,0.034350595,0.054368511,0.023899538,0.027566617,0.036399881,85.45679012,2015
Deus Ex: Mankind Divided,0.025107962,0.02308431,0.033635734,0.015763035,0.006981388,0.026139733,0.013693882,84.11864407,2016
Devil May Cry 4: Special Edition,-0.005699401,0.015075285,0.004556807,-0.005417884,0.048814907,0.019723481,0.019265667,75.67857143,2015
Digimon Story Cyber Sleuth,0.037133427,0.039599095,0.042420476,0.027184093,0.020482155,0.03635727,0.020874806,75.06666667,2016
Digimon World: Next Order,-0.006383718,-0.008224493,-0.007236636,-0.000439663,-0.005753691,-0.001130272,0.008489292,67.37142857,2017
Dino Dini's Kick Off Revival,-0.091687933,-0.095769954,-0.071275755,-0.059626798,-0.082086045,-0.037205971,-0.105513362,32.36363636,2016
DiRT 4,0.025881114,0.015974888,0.025488743,0.019820152,0.028599978,0.026405434,0.039853924,84.18604651,2017
DiRT Rally,0.053089949,0.045042433,0.029912821,0.039603239,0.055613408,0.03859509,0.054936106,85.60869565,2016
Disc Jam,-0.02260625,0.024420126,-0.028056152,0.022795632,0.027931037,-0.033056859,0.044037511,71.66666667,2017
Disgaea 5: Alliance of Vengeance,0.036307594,0.033206623,0.047291428,0.046372467,0.04127245,0.098626011,0.057234335,80.62790698,2015
Dishonored 2,0.065226534,0.048408909,0.053927118,0.036097176,0.024134689,0.032685494,0.045320652,87.96774194,2016
Dishonored: Death of the Outsider,0.034998782,0.024164828,0.042873671,0.03526558,0.028615464,0.063262021,0.037333575,81.66666667,2017
Dishonored: Definitive Edition,0.030360672,0.008411163,0.021010525,0.008773741,0.029242534,0.017474821,0.021189099,80.0625,2015
Disney Infinity 3.0 Edition,0.008830266,0.006794462,0.019874054,0.01405793,0.005545102,-0.001113822,0.02196387,80.32075472,2015
Divinity: Original Sin Enhanced Edition,0.053030652,0.068110795,0.048941956,0.051038965,0.097346336,0.048957322,0.063129655,88.25641026,2015
